timestamps,#packets,#bytes,#unique_IP_sources,#unique_IP_destinations
1551740400,28669723, 1350213209.0167,417631.45,12219047.483333
1551744000,29273815.4, 1424974565.0167,426119.88333333,12356503.2
1551747600,28908988.233333, 1359998180.8,450314.73333333,12291383.7
1551751200,28344515.35, 1471186633.0833,464484.71666667,12179386.583333
1551754800,29795404.233333, 1478200900.8167,474445.83333333,12247359.45
1551758400,30105724.033333, 1389834489.1833,491955.56666667,12110571.983333
1551762000,28502039.066667, 1357089055.7167,512755.45,12043998.45
1551765600,28532691.683333, 1342386003.3,526122.31666667,12096889.8
1551769200,32064826.783333, 1522988384.6667,534863.63333333,12675795.483333
1551772800,31115496.433333, 1480586600.8333,533595.8,12211088.35
1551776400,28818937.75, 1365184428.5,522453.08333333,12104056.7
1551780000,32896787.4, 1563647764.8,516697.58333333,12410731.033333
1551783600,31019929.716667, 1443818727.5667,525066.26666667,12311208.983333
1551787200,32273505.116667, 1616537787.25,538042.6,12428494.5
1551790800,32114433.716667, 1511649038.9667,553243.03333333,12369938.116667
1551794400,31114722.466667, 2133893749.5333,561299.08333333,12266221.966667
1551798000,29652877.983333, 1434452051.6333,555322.13333333,12293333.55
1551801600,29667157.95, 1491112584.6667,534434.06666667,12200247.416667
1551805200,28800907.233333, 1358423164.4667,510006.51666667,12180742.216667
1551808800,30949087.316667, 1553360886.4667,496154.76666667,12322257.25
1551812400,33389281.65, 1682479333.7833,476660.46666667,12340159.116667
1551816000,29600255.816667, 1721227405.8,453031.25,12151802.066667
1551819600,27724172.433333, 1386231961.5333,427685.28333333,11956572.016667
1551823200,31307163.583333, 1454214723.8333,422184.5,12432137.6
1551826800,30249247.816667, 1419798783.2,413247.93333333,12298543.033333
1551830400,32842516.416667, 1817475072.1667,425148.41666667,12789001.2
1551834000,30851715.116279, 1482536063.7442,447072.39534884,12500363.302326
1551837600,, ,,
1551841200,, ,,
1551844800,, ,,
1551848400,, ,,
1551852000,, ,,
1551855600,, ,,
1551859200,, ,,
1551862800,, ,,
1551866400,, ,,
1551870000,, ,,
1551873600,, ,,
1551877200,35088180.35, 1639898665.4667,552503.23333333,12953019.266667
1551880800,, ,,
1551884400,33601561.465517, 1705704588.2414,536198.39655172,12765549.258621
1551888000,32886662.166667, 1601230398.7667,526102.11666667,12757916.45
1551891600,34521831.316667, 1609389383.8833,505554,12947517.15
1551895200,34119340.8, 1522935164.25,485934.1,13025608.233333
1551898800,32792812.35, 1520257327.6667,464799.1,12862481.166667
1551902400,31852947.133333, 1755463640.85,444820.5,12700098.033333
1551906000,30287882.05, 1380117748.75,429090.41666667,12491915.95
1551909600,30788440.733333, 1402169309.8667,421110.28333333,12565184.95
1551913200,31513351.883333, 1627426271.2,414283.15,12650442.35
1551916800,31315964.683333, 1493624617.6333,418132.45,12653395
1551920400,33790054.383333, 1686374175.6,440496.73333333,12944149.533333
1551924000,34493569.883333, 1693718792.8333,452614.08333333,13141205.866667
1551927600,31815722.65, 1542259962.4167,464782.01666667,12687479.916667
1551931200,33408566.033333, 1659610464.25,477380.18333333,12753406.75
1551934800,32028901.4, 1501424326.6833,498151.06666667,12512718.033333
1551938400,32268655.016667, 1542569239.4667,508901.4,12670749.616667
1551942000,31606965.45, 1467699078.9833,519766.5,12545185.3
