timestamp, # Bytes,# Packets,# Unique Source IPs,# Unique Destination IPs
1420070400, 340997580.58333,5420615.5486111,581653.05069444,3435788.2854167
1420156800, 364803868.14653,5696390.8229167,613314.41111111,3631271.3791667
1420243200, 347545931.32222,5676880.0513889,485644.85833333,3594439.6375
1420329600, 407981705.42917,6789878.1909722,503484.19166667,3986710.6118056
1420416000, 453534321.95764,7416425.4090278,567450.58055556,4145826.0888889
1420502400, 463442347.89792,7273529.0597222,516108.27638889,4175171.5020833
1420588800, 441401990.15347,7000846.5291667,563906.32569444,4135807.7784722
1420675200, 423182019.91528,6760462.4138889,535175.93888889,3908070.3347222
1420761600, 411988281.52361,6634477.1986111,557782.16111111,3832504.3791667
1420848000, 428682458.08542,6732937.0506944,593400.10902778,3987941.1326389
1420934400, 392448048.47083,6302875.4902778,309689.52916667,3576305.6284722
1421020800, 469609095.42153,7231789.4319444,735666.65416667,4227680.5041667
1421107200, 509235368.70833,7335320.9291667,701528.43055556,4044738.6173611
1421193600, 480330532.06042,7124183.2666667,629432.31805555,4041945.3027778
1421280000, 419239490.50417,6768636.5784722,540059.64444444,4253910.1833333
1421366400, 494553377.89653,7178463.1277778,587977.79930556,4048879.2423611
1421452800, 578639875.80208,7034657.3131944,577355.28333333,3790126.6972222
1421539200, 417793215.2625,6304764.1083333,561337.12777778,3987244.5131944
1421625600, 391098659.69306,6793680.8340278,499283.05208333,3924681.2305556
1421712000, 450938160.26944,7385911.8618056,603159.33611111,3955308.3555556
1421798400, 443340913.6,7379110.9180556,588709.09097222,4152479.63125
1421884800, 449579019.52847,7473504.1152778,589908.36666667,4133334.4444445
1421971200, 435447821.20972,7525043.6305556,588963.42361111,4146262.8409722
1422057600, 482766697.74236,7445956.2180556,914351.03819444,4595054.43125
1422144000, 462354563.15625,7210085.6715278,694529.83888889,4174846.8847222
1422230400, 427806367.77569,6862515.0611111,627213.37291667,4191482.7430556
1422316800, 515537063.01389,6425834.4256944,570885.24375,3788157.8548611
1422403200, 472186996.82708,6959666.7951389,627207.55138889,4129895.3763889
1422489600, 388160056.50903,6221547.025,603125.61666667,3827514.4013889
1422576000, 372401220.21875,5809908.7597222,495159.975,3670643.4951389
1422662400, 405524679.96965,5953732.5354131,618424.53288364,3875006.5539629
1422748800, 395985410.72222,6109337.3486111,460693.97361111,3625228.8493056
1422835200, 450233586.25556,6654031.1694444,464216.44444445,3581611.6986111
1422921600, 455539838.37778,6474409.9701389,840499.32569444,4249845.7527778
1423008000, 480019390.72083,6851354.0416667,911953.48958333,4459602.5027778
